艺人,歌名
Alan Walker & KIMG,Story of A Bird
Armin van Buuren x BLR,Bach to the Future
Bassboy x DJ Pantha,Lock ARF
Bear Grillz,Fuck This Pit Up VIP
BLVCK & CHNTR x Grace Grey,CENDEE - Rave Däli (HELLO B!TCH)
Blasterjaxx & Brennan Heart,Together as One
Calvin Harris,Blessings (feat. Clementree Douglas)
David Guetta & Hypaton & Europe,The Final Countdown 2025
DEEZL,REBIRTH
Eli Brown,WAVOY
Freejak,My House
G-POL,Renegade Master (Don Diablo Edit)
Hardwell,Lift Off
NUTS x Robert Falcon,Lights
Inventeb,Limits
INFLKT & Sampfire,ECHO
Joe Stone,Donna Summer Nights (feat. Aloma Steele)
Joris Voorn,Tomorrow
Julian Jordan,Something to Believe In
Kai Wachi,Butterfly Dream
Kurds,Fast Money
Lil Lords,The Deviller
Little Sis Nora,GABBA GABBA
LNY TNZ x Coone,Dedicated
Lucas Estrada x YouNotUs x Sam Gray,Love Me Again
Marcus & Martinus,Endless Summer
Martin Garrix & Mosto,Limitless (Arcando Remix)
MATTN & DJs From Mars,Sweet Escape (Zero Gravity Festival Remix)
MEDUN x LAWRENT x Jaimes,Golden
Mike Williams,Learn to Fly (feat. Eirik Næss)
Miss K8 & Tha Watcher,Reflections
MOTi,Make Me Wanna
Nick Havsen,Kraken
Nicky Romero x miflforlife x Rory Hope,Don't Be Shy
NOME.,Bring It Back
noonoouri x Max & Harvey,Release Me
Nuzb,B3XY
R3HAB,The Chase
SHAUSE,Sunrise
Showtek,Save The Day (Once Again)
Sikdope & Bello Sisoski,RATS
Stery de Cicco x Kickbait x liquidfive,Touch Me (Speed of Light)
Sub Zero Project x Rebelion,Capital of Crazy
Tiësto x Odd Mob x Goodboys,Won't Be Possible
Tommy Farrow,Breathless
Tujamo x Dizzee Rascal,Fader
William Black x Slander,Waiting on This Day Forever
